Comunidad autónoma de residencia;Tipo de destino;Concepto turístico;Tipo de dato;Periodo;Total
Total;España;Gasto total;Valor absoluto;2020;17.558.445,34
Total;España;Gasto total;Valor absoluto;2019;32.014.006,19
Total;España;Gasto total;Valor absoluto;2018;30.861.205,00
Total;España;Gasto total;Valor absoluto;2017;29.957.447,16
Total;España;Gasto total;Valor absoluto;2016;28.154.445,43
Total;España;Gasto total;Valor absoluto;2015;26.021.818,17
Total;España;Gasto total;Distribución porcentual;2021;100,00
Total;España;Gasto total;Distribución porcentual;2020;100,00
Total;España;Gasto total;Distribución porcentual;2019;100,00
Total;España;Gasto total;Distribución porcentual;2018;100,00
Total;España;Gasto total;Distribución porcentual;2017;100,00
Total;España;Gasto total;Distribución porcentual;2016;100,00
Total;España;Gasto total;Distribución porcentual;2015;100,00
Total;España;Gasto total;Variación anual;2021;54,39
Total;España;Gasto total;Variación anual;2020;-45,15
Total;España;Gasto total;Variación anual;2019;3,74
Total;España;Gasto total;Variación anual;2018;3,02
Total;España;Gasto total;Variación anual;2017;6,40
Total;España;Gasto total;Variación anual;2016;8,20
Total;España;Gasto total;Variación anual;2015;""
Total;España;Gasto medio por persona;Valor absoluto;2021;199,79
Total;España;Gasto medio por persona;Valor absoluto;2020;182,05
Total;España;Gasto medio por persona;Valor absoluto;2019;184,25
Total;España;Gasto medio por persona;Valor absoluto;2018;174,58
Total;España;Gasto medio por persona;Valor absoluto;2017;169,83
Total;España;Gasto medio por persona;Valor absoluto;2016;169,38
Total;España;Gasto medio por persona;Valor absoluto;2015;162,30
Total;España;Gasto medio por persona;Distribución porcentual;2021;""
Total;España;Gasto medio por persona;Distribución porcentual;2020;""
Total;España;Gasto medio por persona;Distribución porcentual;2019;""
Total;España;Gasto medio por persona;Distribución porcentual;2018;""
Total;España;Gasto medio por persona;Distribución porcentual;2017;""
Total;España;Gasto medio por persona;Distribución porcentual;2016;""
Total;España;Gasto medio por persona;Distribución porcentual;2015;""
Total;España;Gasto medio por persona;Variación anual;2021;9,75
Total;España;Gasto medio por persona;Variación anual;2020;-1,19
Total;España;Gasto medio por persona;Variación anual;2019;5,54
Total;España;Gasto medio por persona;Variación anual;2018;2,80
Total;España;Gasto medio por persona;Variación anual;2017;0,26
Total;España;Gasto medio por persona;Variación anual;2016;4,36
Total;España;Gasto medio por persona;Variación anual;2015;""
Total;España;Gasto medio diario por persona;Valor absoluto;2021;48,65
Total;España;Gasto medio diario por persona;Valor absoluto;2020;38,96
Total;España;Gasto medio diario por persona;Valor absoluto;2019;49,29
Total;España;Gasto medio diario por persona;Valor absoluto;2018;47,89
Total;España;Gasto medio diario por persona;Valor absoluto;2017;45,34
Total;España;Gasto medio diario por persona;Valor absoluto;2016;43,78
Total;España;Gasto medio diario por persona;Valor absoluto;2015;42,21
Total;España;Gasto medio diario por persona;Distribución porcentual;2021;""
Total;España;Gasto medio diario por persona;Distribución porcentual;2020;""
Total;España;Gasto medio diario por persona;Distribución porcentual;2019;""
Total;España;Gasto medio diario por persona;Distribución porcentual;2018;""
Total;España;Gasto medio diario por persona;Distribución porcentual;2017;""
Total;España;Gasto medio diario por persona;Distribución porcentual;2016;""
Total;España;Gasto medio diario por persona;Distribución porcentual;2015;""
Total;España;Gasto medio diario por persona;Variación anual;2021;24,86
Total;España;Gasto medio diario por persona;Variación anual;2020;-20,96
Total;España;Gasto medio diario por persona;Variación anual;2019;2,91
Total;España;Gasto medio diario por persona;Variación anual;2018;5,64
Total;España;Gasto medio diario por persona;Variación anual;2017;3,55
Total;España;Gasto medio diario por persona;Variación anual;2016;3,73
Total;España;Gasto medio diario por persona;Variación anual;2015;""
Total;Dentro de la Comunidad Autónoma;Viajes;Valor absoluto;2021;77.158.753
Total;Dentro de la Comunidad Autónoma;Viajes;Valor absoluto;2020;57.493.722
Total;Dentro de la Comunidad Autónoma;Viajes;Valor absoluto;2019;90.679.508
Total;Dentro de la Comunidad Autónoma;Viajes;Valor absoluto;2018;93.045.759
Total;Dentro de la Comunidad Autónoma;Viajes;Valor absoluto;2017;92.810.626
Total;Dentro de la Comunidad Autónoma;Viajes;Valor absoluto;2016;86.079.120
Total;Dentro de la Comunidad Autónoma;Viajes;Valor absoluto;2015;83.162.958
Total;Dentro de la Comunidad Autónoma;Viajes;Distribución porcentual;2021;56,9
Total;Dentro de la Comunidad Autónoma;Viajes;Distribución porcentual;2020;59,6
Total;Dentro de la Comunidad Autónoma;Viajes;Distribución porcentual;2019;52,2
Total;Dentro de la Comunidad Autónoma;Viajes;Distribución porcentual;2018;52,6
Total;Dentro de la Comunidad Autónoma;Viajes;Distribución porcentual;2017;52,6
Total;Dentro de la Comunidad Autónoma;Viajes;Distribución porcentual;2016;51,8
Total;Dentro de la Comunidad Autónoma;Viajes;Distribución porcentual;2015;51,9
Total;Dentro de la Comunidad Autónoma;Viajes;Variación anual;2021;34,20
Total;Dentro de la Comunidad Autónoma;Viajes;Variación anual;2020;-36,60
Total;Dentro de la Comunidad Autónoma;Viajes;Variación anual;2019;-2,54
Total;Dentro de la Comunidad Autónoma;Viajes;Variación anual;2018;0,25
Total;Dentro de la Comunidad Autónoma;Viajes;Variación anual;2017;7,82
Total;Dentro de la Comunidad Autónoma;Viajes;Variación anual;2016;3,51
Total;Dentro de la Comunidad Autónoma;Viajes;Variación anual;2015;""
Total;Dentro de la Comunidad Autónoma;Duración media de los viajes;Valor absoluto;2021;3,20
Total;Dentro de la Comunidad Autónoma;Duración media de los viajes;Valor absoluto;2020;3,67
Total;Dentro de la Comunidad Autónoma;Duración media de los viajes;Valor absoluto;2019;2,92
Total;Dentro de la Comunidad Autónoma;Duración media de los viajes;Valor absoluto;2018;2,81
Total;Dentro de la Comunidad Autónoma;Duración media de los viajes;Valor absoluto;2017;2,87
Total;Dentro de la Comunidad Autónoma;Duración media de los viajes;Valor absoluto;2016;2,98
Total;Dentro de la Comunidad Autónoma;Duración media de los viajes;Valor absoluto;2015;2,97
Total;Dentro de la Comunidad Autónoma;Duración media de los viajes;Distribución porcentual;2021;""
Total;Dentro de la Comunidad Autónoma;Duración media de los viajes;Distribución porcentual;2020;""
Total;Dentro de la Comunidad Autónoma;Duración media de los viajes;Distribución porcentual;2019;""
Total;Dentro de la Comunidad Autónoma;Duración media de los viajes;Distribución porcentual;2018;""
Total;Dentro de la Comunidad Autónoma;Duración media de los viajes;Distribución porcentual;2017;""
Total;Dentro de la Comunidad Autónoma;Duración media de los viajes;Distribución porcentual;2016;""
Total;Dentro de la Comunidad Autónoma;Duración media de los viajes;Distribución porcentual;2015;""
Total;Dentro de la Comunidad Autónoma;Duración media de los viajes;Variación anual;2021;-12,91
Total;Dentro de la Comunidad Autónoma;Duración media de los viajes;Variación anual;2020;25,68
Total;Dentro de la Comunidad Autónoma;Duración media de los viajes;Variación anual;2019;3,84
Total;Dentro de la Comunidad Autónoma;Duración media de los viajes;Variación anual;2018;-1,98
Total;Dentro de la Comunidad Autónoma;Duración media de los viajes;Variación anual;2017;-3,67
Total;Dentro de la Comunidad Autónoma;Duración media de los viajes;Variación anual;2016;0,30
Total;Dentro de la Comunidad Autónoma;Duración media de los viajes;Variación anual;2015;""
Total;Dentro de la Comunidad Autónoma;Pernoctaciones;Valor absoluto;2021;246.592.875
Total;Dentro de la Comunidad Autónoma;Pernoctaciones;Valor absoluto;2020;210.984.725
Total;Dentro de la Comunidad Autónoma;Pernoctaciones;Valor absoluto;2019;264.776.360
Total;Dentro de la Comunidad Autónoma;Pernoctaciones;Valor absoluto;2018;261.643.807
Total;Dentro de la Comunidad Autónoma;Pernoctaciones;Valor absoluto;2017;266.247.655
Total;Dentro de la Comunidad Autónoma;Pernoctaciones;Valor absoluto;2016;256.339.020
Total;Dentro de la Comunidad Autónoma;Pernoctaciones;Valor absoluto;2015;246.912.284
Total;Dentro de la Comunidad Autónoma;Pernoctaciones;Distribución porcentual;2021;44,2
Total;Dentro de la Comunidad Autónoma;Pernoctaciones;Distribución porcentual;2020;46,8
Total;Dentro de la Comunidad Autónoma;Pernoctaciones;Distribución porcentual;2019;40,8
Total;Dentro de la Comunidad Autónoma;Pernoctaciones;Distribución porcentual;2018;40,6
Total;Dentro de la Comunidad Autónoma;Pernoctaciones;Distribución porcentual;2017;40,3
Total;Dentro de la Comunidad Autónoma;Pernoctaciones;Distribución porcentual;2016;39,9
Total;Dentro de la Comunidad Autónoma;Pernoctaciones;Distribución porcentual;2015;40,0
Total;Dentro de la Comunidad Autónoma;Pernoctaciones;Variación anual;2021;16,88
Total;Dentro de la Comunidad Autónoma;Pernoctaciones;Variación anual;2020;-20,32
Total;Dentro de la Comunidad Autónoma;Pernoctaciones;Variación anual;2019;1,20
Total;Dentro de la Comunidad Autónoma;Pernoctaciones;Variación anual;2018;-1,73
Total;Dentro de la Comunidad Autónoma;Pernoctaciones;Variación anual;2017;3,87
Total;Dentro de la Comunidad Autónoma;Pernoctaciones;Variación anual;2016;3,82
Total;Dentro de la Comunidad Autónoma;Pernoctaciones;Variación anual;2015;""
Total;Dentro de la Comunidad Autónoma;Gasto total;Valor absoluto;2021;9.030.158,49
Total;Dentro de la Comunidad Autónoma;Gasto total;Valor absoluto;2020;6.523.992,52
Total;Dentro de la Comunidad Autónoma;Gasto total;Valor absoluto;2019;9.551.900,45
Total;Dentro de la Comunidad Autónoma;Gasto total;Valor absoluto;2018;9.073.123,82
Total;Dentro de la Comunidad Autónoma;Gasto total;Valor absoluto;2017;8.630.137,04
Total;Dentro de la Comunidad Autónoma;Gasto total;Valor absoluto;2016;7.981.721,58
Total;Dentro de la Comunidad Autónoma;Gasto total;Valor absoluto;2015;7.549.602,23
Total;Dentro de la Comunidad Autónoma;Gasto total;Distribución porcentual;2021;33,30
Total;Dentro de la Comunidad Autónoma;Gasto total;Distribución porcentual;2020;37,20
Total;Dentro de la Comunidad Autónoma;Gasto total;Distribución porcentual;2019;29,80
Total;Dentro de la Comunidad Autónoma;Gasto total;Distribución porcentual;2018;29,40
Total;Dentro de la Comunidad Autónoma;Gasto total;Distribución porcentual;2017;28,80
Total;Dentro de la Comunidad Autónoma;Gasto total;Distribución porcentual;2016;28,30
Total;Dentro de la Comunidad Autónoma;Gasto total;Distribución porcentual;2015;29,00
Total;Dentro de la Comunidad Autónoma;Gasto total;Variación anual;2021;38,41
Total;Dentro de la Comunidad Autónoma;Gasto total;Variación anual;2020;-31,70
Total;Dentro de la Comunidad Autónoma;Gasto total;Variación anual;2019;5,28
Total;Dentro de la Comunidad Autónoma;Gasto total;Variación anual;2018;5,13
Total;Dentro de la Comunidad Autónoma;Gasto total;Variación anual;2017;8,12
Total;Dentro de la Comunidad Autónoma;Gasto total;Variación anual;2016;5,72
Total;Dentro de la Comunidad Autónoma;Gasto total;Variación anual;2015;""
Total;Dentro de la Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2021;117,03
Total;Dentro de la Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2020;113,47
Total;Dentro de la Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2019;105,34
Total;Dentro de la Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2018;97,51
Total;Dentro de la Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2017;92,99
Total;Dentro de la Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2016;92,73
Total;Dentro de la Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2015;90,78
Total;Dentro de la Comunidad Autónoma;Gasto medio por persona;Distribución porcentual;2021;""
Total;Dentro de la Comunidad Autónoma;Gasto medio por persona;Distribución porcentual;2020;""
Total;Dentro de la Comunidad Autónoma;Gasto medio por persona;Distribución porcentual;2019;""
Total;Dentro de la Comunidad Autónoma;Gasto medio por persona;Distribución porcentual;2018;""
Total;Dentro de la Comunidad Autónoma;Gasto medio por persona;Distribución porcentual;2017;""
Total;Dentro de la Comunidad Autónoma;Gasto medio por persona;Distribución porcentual;2016;""
Total;Dentro de la Comunidad Autónoma;Gasto medio por persona;Distribución porcentual;2015;""
Total;Dentro de la Comunidad Autónoma;Gasto medio por persona;Variación anual;2021;3,14
Total;Dentro de la Comunidad Autónoma;Gasto medio por persona;Variación anual;2020;7,72
Total;Dentro de la Comunidad Autónoma;Gasto medio por persona;Variación anual;2019;8,02
Total;Dentro de la Comunidad Autónoma;Gasto medio por persona;Variación anual;2018;4,87
Total;Dentro de la Comunidad Autónoma;Gasto medio por persona;Variación anual;2017;0,28
Total;Dentro de la Comunidad Autónoma;Gasto medio por persona;Variación anual;2016;2,14
Total;Dentro de la Comunidad Autónoma;Gasto medio por persona;Variación anual;2015;""
Total;Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2021;36,62
Total;Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2020;30,92
Total;Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2019;36,08
Total;Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2018;34,68
Total;Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2017;32,41
Total;Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2016;31,14
Total;Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2015;30,58
Total;Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Distribución porcentual;2021;""
Total;Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Distribución porcentual;2020;""
Total;Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Distribución porcentual;2019;""
Total;Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Distribución porcentual;2018;""
Total;Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Distribución porcentual;2017;""
Total;Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Distribución porcentual;2016;""
Total;Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Distribución porcentual;2015;""
Total;Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Variación anual;2021;18,43
Total;Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Variación anual;2020;-14,29
Total;Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Variación anual;2019;4,03
Total;Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Variación anual;2018;6,98
Total;Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Variación anual;2017;4,10
Total;Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Variación anual;2016;1,84
Total;Dentro de la Comunidad Autónoma;Gasto medio diario por persona;Variación anual;2015;""
Total;A otra Comunidad Autónoma;Viajes;Valor absoluto;2021;58.528.956
Total;A otra Comunidad Autónoma;Viajes;Valor absoluto;2020;38.955.673
Total;A otra Comunidad Autónoma;Viajes;Valor absoluto;2019;83.075.463
Total;A otra Comunidad Autónoma;Viajes;Valor absoluto;2018;83.726.593
Total;A otra Comunidad Autónoma;Viajes;Valor absoluto;2017;83.589.175
Total;A otra Comunidad Autónoma;Viajes;Valor absoluto;2016;80.139.671
Total;A otra Comunidad Autónoma;Viajes;Valor absoluto;2015;77.168.127
Total;A otra Comunidad Autónoma;Viajes;Distribución porcentual;2021;43,1
Total;A otra Comunidad Autónoma;Viajes;Distribución porcentual;2020;40,4
Total;A otra Comunidad Autónoma;Viajes;Distribución porcentual;2019;47,8
Total;A otra Comunidad Autónoma;Viajes;Distribución porcentual;2018;47,4
Total;A otra Comunidad Autónoma;Viajes;Distribución porcentual;2017;47,4
Total;A otra Comunidad Autónoma;Viajes;Distribución porcentual;2016;48,2
Total;A otra Comunidad Autónoma;Viajes;Distribución porcentual;2015;48,1
Total;A otra Comunidad Autónoma;Viajes;Variación anual;2021;50,25
Total;A otra Comunidad Autónoma;Viajes;Variación anual;2020;-53,11
Total;A otra Comunidad Autónoma;Viajes;Variación anual;2019;-0,78
Total;A otra Comunidad Autónoma;Viajes;Variación anual;2018;0,16
Total;A otra Comunidad Autónoma;Viajes;Variación anual;2017;4,30
Total;A otra Comunidad Autónoma;Viajes;Variación anual;2016;3,85
Total;A otra Comunidad Autónoma;Viajes;Variación anual;2015;""
Total;A otra Comunidad Autónoma;Duración media de los viajes;Valor absoluto;2021;5,31
Total;A otra Comunidad Autónoma;Duración media de los viajes;Valor absoluto;2020;6,15
Total;A otra Comunidad Autónoma;Duración media de los viajes;Valor absoluto;2019;4,63
Total;A otra Comunidad Autónoma;Duración media de los viajes;Valor absoluto;2018;4,57
Total;A otra Comunidad Autónoma;Duración media de los viajes;Valor absoluto;2017;4,72
Total;A otra Comunidad Autónoma;Duración media de los viajes;Valor absoluto;2016;4,83
Total;A otra Comunidad Autónoma;Duración media de los viajes;Valor absoluto;2015;4,79
Total;A otra Comunidad Autónoma;Duración media de los viajes;Distribución porcentual;2021;""
Total;A otra Comunidad Autónoma;Duración media de los viajes;Distribución porcentual;2020;""
Total;A otra Comunidad Autónoma;Duración media de los viajes;Distribución porcentual;2019;""
Total;A otra Comunidad Autónoma;Duración media de los viajes;Distribución porcentual;2018;""
Total;A otra Comunidad Autónoma;Duración media de los viajes;Distribución porcentual;2017;""
Total;A otra Comunidad Autónoma;Duración media de los viajes;Distribución porcentual;2016;""
Total;A otra Comunidad Autónoma;Duración media de los viajes;Distribución porcentual;2015;""
Total;A otra Comunidad Autónoma;Duración media de los viajes;Variación anual;2021;-13,73
Total;A otra Comunidad Autónoma;Duración media de los viajes;Variación anual;2020;32,87
Total;A otra Comunidad Autónoma;Duración media de los viajes;Variación anual;2019;1,32
Total;A otra Comunidad Autónoma;Duración media de los viajes;Variación anual;2018;-3,16
Total;A otra Comunidad Autónoma;Duración media de los viajes;Variación anual;2017;-2,18
Total;A otra Comunidad Autónoma;Duración media de los viajes;Variación anual;2016;0,75
Total;A otra Comunidad Autónoma;Duración media de los viajes;Variación anual;2015;""
Total;A otra Comunidad Autónoma;Pernoctaciones;Valor absoluto;2021;310.685.588
Total;A otra Comunidad Autónoma;Pernoctaciones;Valor absoluto;2020;239.704.583
Total;A otra Comunidad Autónoma;Pernoctaciones;Valor absoluto;2019;384.740.039
Total;A otra Comunidad Autónoma;Pernoctaciones;Valor absoluto;2018;382.722.163
Total;A otra Comunidad Autónoma;Pernoctaciones;Valor absoluto;2017;394.546.709
Total;A otra Comunidad Autónoma;Pernoctaciones;Valor absoluto;2016;386.711.462
Total;A otra Comunidad Autónoma;Pernoctaciones;Valor absoluto;2015;369.603.634
Total;A otra Comunidad Autónoma;Pernoctaciones;Distribución porcentual;2021;55,8
Total;A otra Comunidad Autónoma;Pernoctaciones;Distribución porcentual;2020;53,2
Total;A otra Comunidad Autónoma;Pernoctaciones;Distribución porcentual;2019;59,2
Total;A otra Comunidad Autónoma;Pernoctaciones;Distribución porcentual;2018;59,4
Total;A otra Comunidad Autónoma;Pernoctaciones;Distribución porcentual;2017;59,7
Total;A otra Comunidad Autónoma;Pernoctaciones;Distribución porcentual;2016;60,1
Total;A otra Comunidad Autónoma;Pernoctaciones;Distribución porcentual;2015;60,0
Total;A otra Comunidad Autónoma;Pernoctaciones;Variación anual;2021;29,61
Total;A otra Comunidad Autónoma;Pernoctaciones;Variación anual;2020;-37,70
Total;A otra Comunidad Autónoma;Pernoctaciones;Variación anual;2019;0,53
Total;A otra Comunidad Autónoma;Pernoctaciones;Variación anual;2018;-3,00
Total;A otra Comunidad Autónoma;Pernoctaciones;Variación anual;2017;2,03
Total;A otra Comunidad Autónoma;Pernoctaciones;Variación anual;2016;4,63
Total;A otra Comunidad Autónoma;Pernoctaciones;Variación anual;2015;""
Total;A otra Comunidad Autónoma;Gasto total;Valor absoluto;2021;18.078.795,37
Total;A otra Comunidad Autónoma;Gasto total;Valor absoluto;2020;11.034.452,81
Total;A otra Comunidad Autónoma;Gasto total;Valor absoluto;2019;22.462.105,74
Total;A otra Comunidad Autónoma;Gasto total;Valor absoluto;2018;21.788.081,18
Total;A otra Comunidad Autónoma;Gasto total;Valor absoluto;2017;21.327.310,12
Total;A otra Comunidad Autónoma;Gasto total;Valor absoluto;2016;20.172.723,85
Total;A otra Comunidad Autónoma;Gasto total;Valor absoluto;2015;18.472.215,94
Total;A otra Comunidad Autónoma;Gasto total;Distribución porcentual;2021;66,70
Total;A otra Comunidad Autónoma;Gasto total;Distribución porcentual;2020;62,80
Total;A otra Comunidad Autónoma;Gasto total;Distribución porcentual;2019;70,20
Total;A otra Comunidad Autónoma;Gasto total;Distribución porcentual;2018;70,60
Total;A otra Comunidad Autónoma;Gasto total;Distribución porcentual;2017;71,20
Total;A otra Comunidad Autónoma;Gasto total;Distribución porcentual;2016;71,70
Total;A otra Comunidad Autónoma;Gasto total;Distribución porcentual;2015;71,00
Total;A otra Comunidad Autónoma;Gasto total;Variación anual;2021;63,84
Total;A otra Comunidad Autónoma;Gasto total;Variación anual;2020;-50,88
Total;A otra Comunidad Autónoma;Gasto total;Variación anual;2019;3,09
Total;A otra Comunidad Autónoma;Gasto total;Variación anual;2018;2,16
Total;A otra Comunidad Autónoma;Gasto total;Variación anual;2017;5,72
Total;A otra Comunidad Autónoma;Gasto total;Variación anual;2016;9,21
Total;A otra Comunidad Autónoma;Gasto total;Variación anual;2015;""
Total;A otra Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2021;308,89
Total;A otra Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2020;283,26
Total;A otra Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2019;270,38
Total;A otra Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2018;260,23
Total;A otra Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2017;255,14
Total;A otra Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2016;251,72
Total;A otra Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2015;239,38
Total;A otra Comunidad Autónoma;Gasto medio por persona;Distribución porcentual;2021;""
Total;A otra Comunidad Autónoma;Gasto medio por persona;Distribución porcentual;2020;""
Total;A otra Comunidad Autónoma;Gasto medio por persona;Distribución porcentual;2019;""
Total;A otra Comunidad Autónoma;Gasto medio por persona;Distribución porcentual;2018;""
Total;A otra Comunidad Autónoma;Gasto medio por persona;Distribución porcentual;2017;""
Total;A otra Comunidad Autónoma;Gasto medio por persona;Distribución porcentual;2016;""
Total;A otra Comunidad Autónoma;Gasto medio por persona;Distribución porcentual;2015;""
Total;A otra Comunidad Autónoma;Gasto medio por persona;Variación anual;2021;9,05
Total;A otra Comunidad Autónoma;Gasto medio por persona;Variación anual;2020;4,76
Total;A otra Comunidad Autónoma;Gasto medio por persona;Variación anual;2019;3,90
Total;A otra Comunidad Autónoma;Gasto medio por persona;Variación anual;2018;1,99
Total;A otra Comunidad Autónoma;Gasto medio por persona;Variación anual;2017;1,36
Total;A otra Comunidad Autónoma;Gasto medio por persona;Variación anual;2016;5,16
Total;A otra Comunidad Autónoma;Gasto medio por persona;Variación anual;2015;""
Total;A otra Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2021;58,19
Total;A otra Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2020;46,03
Total;A otra Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2019;58,38
Total;A otra Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2018;56,93
Total;A otra Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2017;54,06
Total;A otra Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2016;52,16
Total;A otra Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2015;49,98
Total;A otra Comunidad Autónoma;Gasto medio diario por persona;Distribución porcentual;2021;""
Total;A otra Comunidad Autónoma;Gasto medio diario por persona;Distribución porcentual;2020;""
Total;A otra Comunidad Autónoma;Gasto medio diario por persona;Distribución porcentual;2019;""
Total;A otra Comunidad Autónoma;Gasto medio diario por persona;Distribución porcentual;2018;""
Total;A otra Comunidad Autónoma;Gasto medio diario por persona;Distribución porcentual;2017;""
Total;A otra Comunidad Autónoma;Gasto medio diario por persona;Distribución porcentual;2016;""
Total;A otra Comunidad Autónoma;Gasto medio diario por persona;Distribución porcentual;2015;""
Total;A otra Comunidad Autónoma;Gasto medio diario por persona;Variación anual;2021;26,41
